judge,candidate_chosen,candidate_not_chosen,time_taken
336,11,8,6.324
336,10,8,8.309
336,8,15,6.801
336,10,2,6.748
336,4,12,16.979
336,10,3,3.826
336,14,13,12.21
336,15,13,9.561
339,5,1,1.633
339,6,12,4.34
339,6,15,2.106
339,11,9,1.573
339,15,3,43.284
339,10,12,1.086
339,7,1,1.568
339,10,5,42.805
339,14,1,40.492
339,7,6,44.116
339,11,1,30.305
339,6,14,11.814
339,5,2,9.681
339,7,12,12.009
339,13,3,17.679
339,8,4,29.525
339,12,15,3.266
339,6,13,4.024
339,6,3,2.771
339,5,13,3.598
340,13,8,3.095
340,10,15,7.573
339,11,4,24.466
339,7,13,4.001
339,4,3,1.594
340,15,12,14.912
339,13,2,1.486
339,8,13,3.616
339,12,3,2.204
339,8,3,1.611
340,1,14,12.834
339,11,7,4.413
339,6,2,1.606
339,11,13,3.227
340,11,13,6.375
339,9,5,6.178
339,1,2,2.464
340,5,2,13.618
339,8,12,7.204
339,12,1,1.853
339,12,2,1.13
339,7,2,1.812
340,11,10,8.501
339,13,1,3.396
340,6,1,4.388
339,14,12,4.312
340,3,8,3.771
339,4,15,3.176
340,4,6,5.727
339,4,5,5.313
340,7,3,4.006
339,9,1,4.883
340,13,1,3.848
339,8,1,4.27
340,6,2,3.325
340,6,5,4.195
339,14,2,4.971
339,9,12,3.873
340,2,14,4.443
340,15,14,3.487
340,14,11,3.879
340,2,12,3.85
340,13,5,3.147
340,1,9,3.035
339,12,13,27.84
340,7,8,11.243
339,10,4,5.985
340,12,13,3.914
339,14,15,3.886
339,2,3,11.508
339,5,12,3.32
339,7,15,1.988
339,7,5,3.873
339,4,13,3.505
339,10,14,4.429
339,8,9,9.325
339,7,4,3.662
339,7,6,6.977
339,10,13,2.786
339,15,1,3.316
339,7,3,2.334
339,10,7,3.579
339,13,3,4.122
339,10,14,51.384
339,10,8,3.344
339,4,6,3.655
339,11,1,2.231
339,11,15,1.815
339,11,14,4.57
362,8,1,3.166
362,10,9,5.3
362,3,1,2.303
362,10,11,2.639
362,7,13,5.859
362,9,2,1.252
362,5,9,55.681
365,12,1,1.161
365,10,12,31.022
365,4,1,21.953
365,12,8,40.144
365,2,13,1.204
365,5,14,10.595
365,8,9,43.53
365,5,11,34.651
365,3,9,47.306
365,8,11,49.993
365,7,9,52.724
365,2,10,32.684
365,14,3,11.023
365,4,13,5.95
365,5,6,35.866
365,14,13,8.98
365,6,15,10.868
365,4,2,14.833
365,10,15,7.087
365,6,8,3.871
404,9,12,2.134
404,7,5,53.007
404,8,2,17.28
404,6,12,20.768
404,7,15,15.192
404,6,1,9.998
404,5,1,5.729
404,2,3,3.064
404,12,11,1.343
404,6,3,9.177
404,9,15,4.379
404,14,4,12.041
404,7,2,17.567
404,10,3,11.341
404,10,1,3.047
404,4,15,11.224
404,11,3,5.374
404,12,4,4.451
404,2,15,2.265
404,11,4,6.791
429,14,12,3.04
429,9,4,4.599
429,13,9,0.669
429,11,7,1.163
429,14,7,13.187
429,5,15,25.434
429,9,11,5.052
429,10,4,10.542
429,7,1,10.502
429,6,14,46.944
429,4,3,13.913
429,14,9,8.22
429,5,10,17.105
429,8,4,13.778
429,2,1,4.897
429,6,11,6.387
429,15,3,4.997
429,2,11,8.207
429,7,12,15.705
429,14,8,6.995
438,8,15,43.231
438,9,6,56.546
438,8,7,24.168
438,5,12,21.865
438,15,13,14.512
438,4,5,17.363
438,3,12,9.76
438,10,6,15.116
438,8,5,5.899
438,6,13,9.242
438,4,8,7.828
438,14,7,26.426
438,2,15,2.81
438,2,13,4.296
438,14,9,11.242
438,8,1,7.305
438,8,2,3.925
438,11,2,6.998
438,8,6,10.348
438,4,15,2.44
448,9,1,16.742
448,11,7,1.162
448,3,1,48.771
448,10,13,28.358
448,8,11,21.729
448,6,11,26.715
448,2,3,13.831
448,10,4,30.059
448,10,12,12.905
448,5,12,13.551
448,10,9,8.133
448,11,3,4.711
448,14,3,18.928
448,10,5,21.009
448,11,1,3.728
448,11,15,3.931
448,4,12,10.692
448,6,3,19.11
448,14,2,5.941
448,15,3,5.48
449,10,14,1.628
449,4,1,13.044
449,12,14,47.243
449,8,13,2.65
449,7,2,28.366
449,5,14,20.148
449,10,7,7.195
449,4,11,1.133
449,6,5,1.152
449,8,7,9.625
449,14,1,3.223
449,14,13,8.781
449,7,6,18.931
449,13,3,3.248
449,9,3,44.15
449,5,7,8.484
449,10,2,2.717
449,9,6,11.172
449,9,2,3.509
449,8,12,5.586
451,11,5,3.818
451,8,5,53.029
451,8,3,15.687
451,13,1,2.113
451,5,15,49.28
451,4,6,2.138
451,4,13,14.543
451,10,15,24.407
451,11,12,1.398
451,4,2,10.957
451,4,7,50.482
451,10,11,10.115
451,5,13,4.942
451,5,3,7.105
451,6,13,6.509
451,5,2,15.746
451,5,1,6.526
451,4,5,7.47
451,14,11,20.595
451,7,12,2.349
463,10,6,1.411
463,6,2,13.802
463,9,13,40.357
463,9,7,46.025
463,8,9,25.62
463,8,15,10.186
463,14,15,38.843
463,11,13,1.122
463,4,3,20.871
463,7,13,8.313
463,9,12,38.519
463,4,14,8.933
463,8,14,5.968
463,7,3,5.626
463,6,1,10.759
463,6,15,5.798
463,10,1,6.418
463,3,12,22.773
463,2,12,9.013
463,2,1,4.156
463,15,12,20.866
463,15,13,10.093
463,5,9,14.339
463,8,10,7.149
463,9,4,9.013
